,,,,WAVE SURFER,,,,,,,,,,MOC,,LOC,,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,보유량,이익복리,80%,,안전모드,보유일수,30 ,매도목표,0.2% ,매수목표,3.0% ,,,매매 업데이트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SI_VR 5621-7016,,예수금,"76,241",,37,손실복리,30%,,공세모드,보유일수,7 ,매도목표,2.5% ,매수목표,5.0% ,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,손익률,누적( S),매도량,총자산,,투자원금,"손익
갱신주기",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83.7%,"42,066",37,"83,362",,"42,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매수예정,"10,709.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,범위(±),15%,,현재가,192.45 ,가상,,,계좌번호,,,최초원금,"8,265 ",,,,,수수료율,0.044% ,,,,,,매도대기수,,,,,,손익률,누적($),,,,투자원금,입출금,예수금,보유량,평가금,총자산,평단,MDD,,,수수료절약,,,전일종가,192.45 ,56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,주문수,20,,종가, ,매수량, ,,투자종목,SOXL,,분할횟수,7 ,,,,,SEC Fee,0.00278% ,,,,,,1,,,,,,83.7%,"42,066",,,,"42,200",-,"76,241",37,"7,121","83,362",178.55,-13.6%,578.83 ,0.0%,578.8 ,,,MIN,217.99 ,37 ,,,,,,,,,,,,,,,, , ,,0,0,,,,MOC 추출,,,,,,,,,,,,,,,
,,,,26.07.10.(금) 07:08:40,,,,,175,,,,,"17,742.04 ",,,"8,751 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,181,1,,,,,,,,Total,,,,,,,,,,,,,,,
,곡률,0.70,,,,,,,거래일자,종가,매매모드,변동률,매수예정,LOC 매수목표,목표량,매수가,매수량,매수금액,수수료,목표가,MOC,MOC매도,,매도일,매도가,매도량,매도금액,수수료,당일실현,손익금액,손익률,누적손익,갱신,복리금액,자금갱신,시드증액,입출금,예수금,보유량,평가금,총자산,수익률,DD,예상수,실제수,절감액,비       고,,매도추출,목표가,매도량,,,매수가,수량,,매도가,수량,,유형,매매가,수량,%,,07.10.,주문가,수량,%,체결,%p,%     ,,,,매도추출,목표가,매도량,,,,매수가,수량,,매도가,수량,,"=calculateOrders(CF10:CH30,CC10:CE30)",,,
,,,,,,,,,10.28.(화),46.96 ,안전 ,,"1,180.71 ",48.25 ,24 ,46.96 ,24 ,"1,127.04 ",,47.05 ,FALSE,12. 10.(수),9,10.29.(수),49.38 ,24 ,"1,185.12 ",,0.00,58.08 ,5.2% ,58.08 ,FALSE,,8265.00,,,"7,137.96 ",24 ,"1,127.04 ","8,265.00 ",0.0% ,0.0% ,1.04 ,0.00 ,1.04 ,,9,,, ,,LOC,198.22,54,,, ,,매도,217.99,37,13.3% ,,매도,217.99 ,37 ,13.3% ,FALSE,10.3%p ,13.3% ,,,,MOC,,,,,LOC,198.22,54,,,,,매도,LOC,217.99,37
,,,,,,,,,10.29.(수),49.38 ,안전 ,5.2% ,"1,180.71 ",48.37 ,24 , , , ,, ,,,0,,, , ,,58.05, ,, ,FALSE,,8265.00,,,"8,323.08 ",0 ,0.00 ,"8,323.08 ",0.7% ,0.0% , , , ,,0,LOC,217.99 ,37 ,,,,,LOC,217.99 ,37 ,,매수,198.22,54,3.0% ,,매수,198.22 ,54 ,3.0% ,FALSE,,3.0% ,,,,,,,,,,,,LOC,217.99,37,,매수,LOC,198.22,54
